,"day

hour",waves_size,wind_speed,wind direction
0,"Jeudi 29 Janvier

06:00

1",3.5-5.2,"
15

",Orientation vent Sud
1,"Jeudi 29 Janvier

09:00

2",3.5-5.2,"
17

",Orientation vent Sud Sud Est
2,"Jeudi 29 Janvier

12:00

3",3.4-5.1,"
26

",Orientation vent Sud Sud Est
3,"Jeudi 29 Janvier

15:00

4",3.5-5.3,"
29

",Orientation vent Sud Ouest
4,"Jeudi 29 Janvier

18:00

5",3.7-5.6,"
39

",Orientation vent Ouest
5,"Jeudi 29 Janvier

21:00

6",3.9-5.8,"
39

",Orientation vent Ouest Sud Ouest
6,"Vendredi 30 Janvier

06:00

1",4.5-6.8,"
42

",Orientation vent Ouest
7,"Vendredi 30 Janvier

09:00

2",4.3-6.5,"
34

",Orientation vent Ouest Sud Ouest
8,"Vendredi 30 Janvier

12:00

3",4.4-6.6,"
37

",Orientation vent Sud Sud Ouest
9,"Vendredi 30 Janvier

15:00

4",4.6-6.9,"
47

",Orientation vent Ouest Sud Ouest
10,"Vendredi 30 Janvier

18:00

5",4.9-7.3,"
37

",Orientation vent Ouest Sud Ouest
11,"Vendredi 30 Janvier

21:00

6",5.2-7.8,"
43

",Orientation vent Ouest Sud Ouest
12,"Samedi 31 Janvier

06:00

1",5.4-8.1,"
43

",Orientation vent Ouest
13,"Samedi 31 Janvier

09:00

2",5.4-8.1,"
39

",Orientation vent Ouest Nord Ouest
14,"Samedi 31 Janvier

12:00

3",5.6-8.4,"
48

",Orientation vent Ouest Nord Ouest
15,"Samedi 31 Janvier

15:00

4",5.7-8.5,"
51

",Orientation vent Ouest Nord Ouest
16,"Samedi 31 Janvier

18:00

5",5.6-8.4,"
51

",Orientation vent Ouest Nord Ouest
17,"Samedi 31 Janvier

21:00

6",5.2-7.7,"
39

",Orientation vent Ouest Nord Ouest
18,"Dimanche 1 Février

06:00

1",3.8-5.7,"
35

",Orientation vent Ouest Sud Ouest
19,"Dimanche 1 Février

09:00

2",3.5-5.2,"
39

",Orientation vent Sud Ouest
20,"Dimanche 1 Février

12:00

3",3.2-4.8,"
35

",Orientation vent Sud Ouest
21,"Dimanche 1 Février

15:00

4",3.0-4.5,"
27

",Orientation vent Ouest Sud Ouest
22,"Dimanche 1 Février

18:00

5",2.8-4.1,"
18

",Orientation vent Sud Sud Ouest
23,"Dimanche 1 Février

21:00

6",2.5-3.8,"
14

",Orientation vent Sud Sud Est
24,"Lundi 2 Février

06:00

1",2.2-3.3,"
35

",Orientation vent Sud Sud Est
25,"Lundi 2 Février

09:00

2",2.2-3.3,"
35

",Orientation vent Sud
26,"Lundi 2 Février

12:00

3",2.3-3.5,"
25

",Orientation vent Sud Ouest
27,"Lundi 2 Février

15:00

4",3.0-4.6,"
26

",Orientation vent Ouest Sud Ouest
28,"Lundi 2 Février

18:00

5",3.8-5.7,"
40

",Orientation vent Ouest Sud Ouest
29,"Lundi 2 Février

21:00

6",4.0-6.0,"
36

",Orientation vent Ouest Sud Ouest
30,"Mardi 3 Février

06:00

1",3.2-4.8,"
16

",Orientation vent Sud Sud Est
31,"Mardi 3 Février

09:00

2",3.1-4.7,"
23

",Orientation vent Sud Est
32,"Mardi 3 Février

12:00

3",3.0-4.5,"
28

",Orientation vent Sud Sud Est
33,"Mardi 3 Février

15:00

4",2.9-4.4,"
27

",Orientation vent Sud
34,"Mardi 3 Février

18:00

5",2.9-4.4,"
25

",Orientation vent Sud
35,"Mardi 3 Février

21:00

6",3.0-4.5,"
26

",Orientation vent Sud
36,"Mercredi 4 Février

06:00

1",3.1-4.7,"
16

",Orientation vent Sud
37,"Mercredi 4 Février

09:00

2",3.0-4.6,"
16

",Orientation vent Sud Sud Est
38,"Mercredi 4 Février

12:00

3",2.9-4.4,"
21

",Orientation vent Sud
39,"Mercredi 4 Février

15:00

4",2.7-4.1,"
20

",Orientation vent Sud Sud Est
40,"Mercredi 4 Février

18:00

5",2.5-3.8,"
17

",Orientation vent Sud Est
41,"Mercredi 4 Février

21:00

6",2.3-3.5,"
19

",Orientation vent Sud Est
