date,time,wave_size,wind_speed_kmh,wind_direction
Mercredi 28 Janvier,06:00,3.9-5.8,8,Sud Ouest
Mercredi 28 Janvier,09:00,3.8-5.6,13,Sud
Mercredi 28 Janvier,12:00,3.6-5.4,8,Sud Sud Est
Mercredi 28 Janvier,15:00,3.5-5.2,5,Ouest Nord Ouest
Mercredi 28 Janvier,18:00,3.3-5.0,13,Sud Sud Ouest
Mercredi 28 Janvier,21:00,3.3-5.0,14,Sud
Jeudi 29 Janvier,06:00,3.6-5.4,18,Sud Sud Ouest
Jeudi 29 Janvier,09:00,3.6-5.4,20,Sud Sud Est
Jeudi 29 Janvier,12:00,3.6-5.3,25,Sud Sud Est
Jeudi 29 Janvier,15:00,3.4-5.1,38,Ouest Sud Ouest
Jeudi 29 Janvier,18:00,3.5-5.2,43,Ouest
Jeudi 29 Janvier,21:00,3.7-5.5,40,Ouest
Vendredi 30 Janvier,06:00,4.7-7.0,43,Ouest
Vendredi 30 Janvier,09:00,4.6-6.9,39,Ouest
Vendredi 30 Janvier,12:00,4.5-6.8,31,Sud Sud Ouest
Vendredi 30 Janvier,15:00,4.7-7.0,39,Sud Ouest
Vendredi 30 Janvier,18:00,5.0-7.5,37,Sud Ouest
Vendredi 30 Janvier,21:00,5.3-7.9,43,Ouest Sud Ouest
Samedi 31 Janvier,06:00,5.1-7.7,23,Ouest
Samedi 31 Janvier,09:00,5.0-7.5,24,Nord Ouest
Samedi 31 Janvier,12:00,5.4-8.0,25,Nord Ouest
Samedi 31 Janvier,15:00,5.6-8.4,26,Ouest
Samedi 31 Janvier,18:00,5.6-8.3,38,Ouest Nord Ouest
Samedi 31 Janvier,21:00,5.3-7.9,35,Ouest Nord Ouest
Dimanche 1 Février,06:00,4.1-6.2,28,Ouest Sud Ouest
Dimanche 1 Février,09:00,4.0-5.9,37,Sud Ouest
Dimanche 1 Février,12:00,3.7-5.6,23,Ouest
Dimanche 1 Février,15:00,3.6-5.4,24,Ouest Nord Ouest
Dimanche 1 Février,18:00,3.4-5.1,21,Ouest
Dimanche 1 Février,21:00,3.2-4.8,16,Ouest
Lundi 2 Février,06:00,2.5-3.8,22,Est Sud Est
Lundi 2 Février,09:00,2.4-3.6,27,Est Sud Est
Lundi 2 Février,12:00,2.2-3.3,31,Est Sud Est
Lundi 2 Février,15:00,2.0-3.0,30,Est Sud Est
Lundi 2 Février,18:00,1.8-2.7,26,Est Sud Est
Lundi 2 Février,21:00,1.6-2.5,26,Est Sud Est
Mardi 3 Février,06:00,2.0-2.9,38,Ouest
Mardi 3 Février,09:00,2.4-3.6,40,Ouest Sud Ouest
Mardi 3 Février,12:00,2.7-4.0,28,Sud Ouest
Mardi 3 Février,15:00,2.8-4.2,20,Sud Sud Ouest
Mardi 3 Février,18:00,2.8-4.2,14,Sud
Mardi 3 Février,21:00,2.9-4.3,18,Sud Sud Est
